ship_state,transaction_count,total_sales,avg_order_value
MAHARASHTRA,22260,13335534.14,632.83
KARNATAKA,17326,10481114.37,639.33
TELANGANA,11330,6916615.65,650.24
UTTAR PRADESH,10638,6816642.08,685.3
TAMIL NADU,11483,6515650.11,602.8
DELHI,7048,4393522.41,661.28
KERALA,6585,3830227.58,622.7
WEST BENGAL,5963,3507880.44,632.39
ANDHRA PRADESH,5432,3220324.72,636.93
HARYANA,4415,2882092.99,688.18
GUJARAT,4489,2728651.82,657.03
RAJASTHAN,2718,1761131.16,694.73
MADHYA PRADESH,2529,1592382.98,672.74
BIHAR,2114,1415613.32,721.15
ODISHA,2139,1386372.39,693.88
PUNJAB,1919,1211666.84,671.28
ASSAM,1663,1018136.2,657.71
UTTARAKHAND,1553,974143.55,674.15
JHARKHAND,1456,919088.21,679.8
GOA,1137,637685.85,589.9
CHHATTISGARH,909,570485.83,660.28
HIMACHAL PRADESH,788,503364.51,695.25
JAMMU AND KASHMIR,702,456932.74,704.06
MANIPUR,316,213981.99,710.9
CHANDIGARH,333,211740.67,665.85
PUDUCHERRY,351,192573.24,588.91
ANDAMAN AND NICOBAR ISLANDS,257,158723.62,653.18
NAGALAND,187,145055.67,797.01
SIKKIM,205,140828.66,741.2
MEGHALAYA,207,119871.81,608.49
ARUNACHAL PRADESH,146,97772.0,703.4
TRIPURA,151,92548.4,656.37
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,70,42138.92,679.66
MIZORAM,76,41948.71,574.64
LADAKH,43,38388.43,914.01
LAKSHADWEEP,4,3175.29,793.82
