Category,unique_products,total_sales,total_quantity,avg_transaction_value,transaction_count,pct_of_total_sales
KURTA SET,1464,34853511.51,39102,909.989595833007,40491,32.48
KURTA,2969,32394166.27,64419,518.082848529435,65723,30.19
SET,800,13713250.68,14807,899.878645580419,16030,12.78
DRESS,550,9592055.03,11973,806.597294820047,12425,8.94
TOP,666,5887459.71,11497,566.101895192308,10725,5.49
TUNIC,154,1508584.57,2840,566.710957926371,2729,1.41
NIGHT WEAR,208,1371601.84,2413,551.28691318328,2582,1.28
LEHENGA CHOLI,34,693602.57,537,1227.61516814159,609,0.65
BLOUSE,163,543510.18,1116,485.276946428571,1165,0.51
PALAZZO,87,495085.04,1219,834.882023608769,603,0.46
PANT,86,446253.82,1346,671.05837593985,670,0.42
CROP TOP WITH PLAZZO,7,395253.1,470,825.163048016701,503,0.37
SAREE,80,181839.76,225,927.75387755102,205,0.17
CROP TOP,40,92085.08,248,356.918914728682,261,0.09
AN : LEGGINGS,77,51197.12,168,295.93710982659,174,0.05
KURTI,13,16771.43,28,578.325172413793,31,0.02
JUMPSUIT,6,14887,17,875.705882352941,17,0.01
CARDIGAN,9,10047.9,19,478.471428571429,21,0.01
BOTTOM,1,349,1,349.0,1,0.0
